path	category	relevance	essentiality	note
benchmarks/BM_Base81SIMD.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/BM_CanonFS.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/BM_LimbMul.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/BM_LlamaKernels.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/BM_TensorMatMul.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/CMakeLists.txt	benchmark	performance	optional	Perf measurement tooling
benchmarks/benchmark.md	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/addition.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/arith_throughput.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/benchmark_runner.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/limb_arith_throughput.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/memory_bandwidth.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/negation_speed.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/overflow_detection.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/packing_density.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/roundtrip_accuracy.cpp	benchmark	performance	optional	Perf measurement tooling
benchmarks/runner/t81lang_compile.cpp	benchmark	performance	optional	Perf measurement tooling
contracts/runtime-contract.json	runtime_contract	cross-repo boundary	essential	Runtime compatibility contract
docs/.bundle/config	documentation	narrative	optional	Developer/user docs
docs/T81_Foundation_Paper.tex	documentation	narrative	optional	Developer/user docs
docs/_config.yml	documentation	narrative	optional	Developer/user docs
docs/_includes/sidebar.html	documentation	narrative	optional	Developer/user docs
docs/_includes/topnav.html	documentation	narrative	optional	Developer/user docs
docs/_layouts/default.html	documentation	narrative	optional	Developer/user docs
docs/_layouts/page.html	documentation	narrative	optional	Developer/user docs
docs/_layouts/spec.html	documentation	narrative	optional	Developer/user docs
docs/ai-quickstart.md	documentation	narrative	optional	Developer/user docs
docs/alignment-policy.md	documentation	narrative	optional	Developer/user docs
docs/archive/developer-guide.md.archived	documentation	narrative	optional	Developer/user docs
docs/archive/handover.md.archived	documentation	narrative	optional	Developer/user docs
docs/archive/tensor-guide.md.archived	documentation	narrative	optional	Developer/user docs
docs/assets/README.md	documentation	narrative	optional	Developer/user docs
docs/assets/css/main.css	documentation	narrative	optional	Developer/user docs
docs/assets/img/banner.png	documentation	narrative	optional	Developer/user docs
docs/assets/js/lunr.min.js	documentation	narrative	optional	Developer/user docs
docs/benchmarks.md	documentation	narrative	optional	Developer/user docs
docs/ci.md	documentation	narrative	optional	Developer/user docs
docs/contributing/generated-artifacts.md	documentation	narrative	optional	Developer/user docs
docs/cpp-migration-roadmap.md	documentation	narrative	optional	Developer/user docs
docs/cpp-quickstart.md	documentation	narrative	optional	Developer/user docs
docs/debugger-guide.md	documentation	narrative	optional	Developer/user docs
docs/guides/README.md	documentation	narrative	optional	Developer/user docs
docs/guides/adding-a-language-feature.md	documentation	narrative	optional	Developer/user docs
docs/guides/axion-policy-manual.md	documentation	narrative	optional	Developer/user docs
docs/guides/axion-trace.md	documentation	narrative	optional	Developer/user docs
docs/guides/axion-tracing-manual.md	documentation	narrative	optional	Developer/user docs
docs/guides/axion/README.md	documentation	narrative	optional	Developer/user docs
docs/guides/base81-codecs.md	documentation	narrative	optional	Developer/user docs
docs/guides/cli-toolkit.md	documentation	narrative	optional	Developer/user docs
docs/guides/cli-user-manual.md	documentation	narrative	optional	Developer/user docs
docs/guides/data-types-overview.md	documentation	narrative	optional	Developer/user docs
docs/guides/demo-gallery.md	documentation	narrative	optional	Developer/user docs
docs/guides/match-example.md	documentation	narrative	optional	Developer/user docs
docs/guides/match-patterns.md	documentation	narrative	optional	Developer/user docs
docs/guides/public-api-overview.md	documentation	narrative	optional	Developer/user docs
docs/guides/record-enum.md	documentation	narrative	optional	Developer/user docs
docs/guides/release-audit-manual.md	documentation	narrative	optional	Developer/user docs
docs/guides/repro-ledger.md	documentation	narrative	optional	Developer/user docs
docs/guides/runtime-contract-helpers.md	documentation	narrative	optional	Developer/user docs
docs/guides/runtime-observability-manual.md	documentation	narrative	optional	Developer/user docs
docs/guides/secure-deployment-tutorial.md	documentation	narrative	optional	Developer/user docs
docs/guides/setun-bridge.md	documentation	narrative	optional	Developer/user docs
docs/guides/t81lang-determinism-gates.md	documentation	narrative	optional	Developer/user docs
docs/guides/t81lang-print-runtime.md	documentation	narrative	optional	Developer/user docs
docs/guides/tier4-execution-contract.md	documentation	narrative	optional	Developer/user docs
docs/guides/vector-literals.md	documentation	narrative	optional	Developer/user docs
docs/guides/vm-opcodes.md	documentation	narrative	optional	Developer/user docs
docs/guides/weights-integration.md	documentation	narrative	optional	Developer/user docs
docs/hardware-roadmap.md	documentation	narrative	optional	Developer/user docs
docs/index.md	documentation	narrative	optional	Developer/user docs
docs/jit-research.md	documentation	narrative	optional	Developer/user docs
docs/llama-demo-story.md	documentation	narrative	optional	Developer/user docs
docs/navigation.md	documentation	narrative	optional	Developer/user docs
docs/notes.md	documentation	narrative	optional	Developer/user docs
docs/onboarding.md	documentation	narrative	optional	Developer/user docs
docs/proposals/jit-design.md	documentation	narrative	optional	Developer/user docs
docs/proposals/t81lang-implementation-plan.md	documentation	narrative	optional	Developer/user docs
docs/release.md	documentation	narrative	optional	Developer/user docs
docs/research-guide.md	documentation	narrative	optional	Developer/user docs
docs/runtime-semantics-boundary.md	documentation	narrative	optional	Developer/user docs
docs/search/README.md	documentation	narrative	optional	Developer/user docs
docs/search/build_index.js	documentation	narrative	optional	Developer/user docs
docs/search/search.css	documentation	narrative	optional	Developer/user docs
docs/search/search.js	documentation	narrative	optional	Developer/user docs
docs/search/search_index.json	documentation	narrative	optional	Developer/user docs
docs/spec	documentation	narrative	optional	Developer/user docs
docs/system-status.md	documentation	narrative	optional	Developer/user docs
docs/tensor-guide.md	documentation	narrative	optional	Developer/user docs
docs/terminology-alignment.md	documentation	narrative	optional	Developer/user docs
docs/tests	documentation	narrative	optional	Developer/user docs
docs/user-manual.md	documentation	narrative	optional	Developer/user docs
examples/README.md	examples	adoption	optional	Usage demos
examples/T81Genesis.cpp	examples	adoption	optional	Usage demos
examples/advanced_datatypes_showcase.t81	examples	adoption	optional	Usage demos
examples/advanced_monitor.t81	examples	adoption	optional	Usage demos
examples/all_types_showcase.t81	examples	adoption	optional	Usage demos
examples/axion_demo.cpp	examples	adoption	optional	Usage demos
examples/axion_guard_trace.cpp	examples	adoption	optional	Usage demos
examples/axion_policy_runner.cpp	examples	adoption	optional	Usage demos
examples/axion_policy_trace.cpp	examples	adoption	optional	Usage demos
examples/bigint_demo.t81	examples	adoption	optional	Usage demos
examples/bigint_fraction_verification.t81	examples	adoption	optional	Usage demos
examples/canonfs_trace_demo.cpp	examples	adoption	optional	Usage demos
examples/cell_demo.t81	examples	adoption	optional	Usage demos
examples/data_types.t81	examples	adoption	optional	Usage demos
examples/demo.cpp	examples	adoption	optional	Usage demos
examples/float_demo.t81	examples	adoption	optional	Usage demos
examples/fraction_demo.t81	examples	adoption	optional	Usage demos
examples/graph_demo.t81	examples	adoption	optional	Usage demos
examples/hello_world.t81	examples	adoption	optional	Usage demos
examples/high_rank_tensor_demo.t81	examples	adoption	optional	Usage demos
examples/ir_roundtrip.cpp	examples	adoption	optional	Usage demos
examples/llama32_demo.cpp	examples	adoption	optional	Usage demos
examples/match_demo.t81	examples	adoption	optional	Usage demos
examples/matrix_demo.t81	examples	adoption	optional	Usage demos
examples/option_result_match.t81	examples	adoption	optional	Usage demos
examples/quaternion_demo.t81	examples	adoption	optional	Usage demos
examples/self_patch_demo.cpp	examples	adoption	optional	Usage demos
examples/string_demo.t81	examples	adoption	optional	Usage demos
examples/t81_llama_bridge.hpp	examples	adoption	optional	Usage demos
examples/tensor_demo.t81	examples	adoption	optional	Usage demos
examples/tensor_ops.cpp	examples	adoption	optional	Usage demos
examples/ternary_verification.t81	examples	adoption	optional	Usage demos
examples/vector_demo.t81	examples	adoption	optional	Usage demos
examples/weights_load_demo.t81	examples	adoption	optional	Usage demos
examples/tisc/guard_match.tisc	misc	support	optional	
include/t81/README.md	public_api	contract headers	essential	Public API surface
include/t81/axion/README.md	public_api	contract headers	essential	Public API surface
include/t81/axion/api.hpp	public_api	contract headers	essential	Public API surface
include/t81/axion/context.hpp	public_api	contract headers	essential	Public API surface
include/t81/axion/engine.hpp	public_api	contract headers	essential	Public API surface
include/t81/axion/policy.hpp	public_api	contract headers	essential	Public API surface
include/t81/axion/policy_engine.hpp	public_api	contract headers	essential	Public API surface
include/t81/axion/reasons.hpp	public_api	contract headers	essential	Public API surface
include/t81/axion/verdict.hpp	public_api	contract headers	essential	Public API surface
include/t81/bigint.hpp	public_api	contract headers	essential	Public API surface
include/t81/bigint/divmod.hpp	public_api	contract headers	essential	Public API surface
include/t81/bigint/gcd.hpp	public_api	contract headers	essential	Public API surface
include/t81/canonfs.hpp	public_api	contract headers	essential	Public API surface
include/t81/canonfs/axion_hook.hpp	public_api	contract headers	essential	Public API surface
include/t81/canonfs/canon_driver.hpp	public_api	contract headers	essential	Public API surface
include/t81/canonfs/canon_types.hpp	public_api	contract headers	essential	Public API surface
include/t81/canonfs/gf3_9.hpp	public_api	contract headers	essential	Public API surface
include/t81/canonfs/rs_repair.hpp	public_api	contract headers	essential	Public API surface
include/t81/canonfs_io.hpp	public_api	contract headers	essential	Public API surface
include/t81/canonical.hpp	public_api	contract headers	essential	Public API surface
include/t81/cli/driver.hpp	public_api	contract headers	essential	Public API surface
include/t81/cli/logging.hpp	public_api	contract headers	essential	Public API surface
include/t81/codec/README.md	public_api	contract headers	essential	Public API surface
include/t81/codec/base243.hpp	public_api	contract headers	essential	Public API surface
include/t81/codec/base81.hpp	public_api	contract headers	essential	Public API surface
include/t81/codec/base81_balanced.hpp	public_api	contract headers	essential	Public API surface
include/t81/codec/base81_packed.hpp	public_api	contract headers	essential	Public API surface
include/t81/codec/metadata.hpp	public_api	contract headers	essential	Public API surface
include/t81/codec/trit_packing.hpp	public_api	contract headers	essential	Public API surface
include/t81/cog/metrics.hpp	public_api	contract headers	essential	Public API surface
include/t81/cog/promotion.hpp	public_api	contract headers	essential	Public API surface
include/t81/cog/tier.hpp	public_api	contract headers	essential	Public API surface
include/t81/cog/tier4/planner.hpp	public_api	contract headers	essential	Public API surface
include/t81/cog/tier4/self_model.hpp	public_api	contract headers	essential	Public API surface
include/t81/cog/tier4/tier4_loop.hpp	public_api	contract headers	essential	Public API surface
include/t81/config.hpp	public_api	contract headers	essential	Public API surface
include/t81/conversion.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/DistributedTensor.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/Option.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/README.md	public_api	contract headers	essential	Public API surface
include/t81/core/Result.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Agent.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81BigInt.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Bytes.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Category.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Complex.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Discovery.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Entropy.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Fixed.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Float.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Fraction.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Graph.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81IOStream.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Int.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Limb.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81List.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Map.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Matrix.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Maybe.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Network.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Polynomial.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Prob.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Promise.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Proof.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Quaternion.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Qutrit.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Reflection.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Result.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Set.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Stream.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81String.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Symbol.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Tensor.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Thread.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Time.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Tree.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Uint.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/T81Vector.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/all.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/base81.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/bigint.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/cell.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/cell_packed.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/fraction.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/ids.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/packing.hpp	public_api	contract headers	essential	Public API surface
include/t81/core/tensor.hpp	public_api	contract headers	essential	Public API surface
include/t81/crypto/sha3.hpp	public_api	contract headers	essential	Public API surface
include/t81/detail/README.md	public_api	contract headers	essential	Public API surface
include/t81/detail/assert.hpp	public_api	contract headers	essential	Public API surface
include/t81/detail/bitops.hpp	public_api	contract headers	essential	Public API surface
include/t81/detail/bitopts.hpp	public_api	contract headers	essential	Public API surface
include/t81/detail/msvc_compat.hpp	public_api	contract headers	essential	Public API surface
include/t81/entropy.hpp	public_api	contract headers	essential	Public API surface
include/t81/enum_meta.hpp	public_api	contract headers	essential	Public API surface
include/t81/fraction.hpp	public_api	contract headers	essential	Public API surface
include/t81/frontend/README.md	public_api	contract headers	essential	Public API surface
include/t81/frontend/ast.hpp	public_api	contract headers	essential	Public API surface
include/t81/frontend/ir_generator.hpp	public_api	contract headers	essential	Public API surface
include/t81/frontend/lexer.hpp	public_api	contract headers	essential	Public API surface
include/t81/frontend/parser.hpp	public_api	contract headers	essential	Public API surface
include/t81/frontend/semantic_analyzer.hpp	public_api	contract headers	essential	Public API surface
include/t81/frontend/symbol_table.hpp	public_api	contract headers	essential	Public API surface
include/t81/hanoi/error.hpp	public_api	contract headers	essential	Public API surface
include/t81/hanoi/kernel.hpp	public_api	contract headers	essential	Public API surface
include/t81/hanoi/types.hpp	public_api	contract headers	essential	Public API surface
include/t81/hash/README.md	public_api	contract headers	essential	Public API surface
include/t81/hash/base81.hpp	public_api	contract headers	essential	Public API surface
include/t81/hash/canonhash.hpp	public_api	contract headers	essential	Public API surface
include/t81/io/tensor_loader.hpp	public_api	contract headers	essential	Public API surface
include/t81/ir/README.md	public_api	contract headers	essential	Public API surface
include/t81/ir/encoding.hpp	public_api	contract headers	essential	Public API surface
include/t81/ir/insn.hpp	public_api	contract headers	essential	Public API surface
include/t81/ir/opcodes.hpp	public_api	contract headers	essential	Public API surface
include/t81/lang/ast.hpp	public_api	contract headers	essential	Public API surface
include/t81/lang/compiler.hpp	public_api	contract headers	essential	Public API surface
include/t81/lang/numeric_format.hpp	public_api	contract headers	essential	Public API surface
include/t81/lang/parser.hpp	public_api	contract headers	essential	Public API surface
include/t81/lang/types.hpp	public_api	contract headers	essential	Public API surface
include/t81/native.hpp	public_api	contract headers	essential	Public API surface
include/t81/packing.hpp	public_api	contract headers	essential	Public API surface
include/t81/setun/bridge.hpp	public_api	contract headers	essential	Public API surface
include/t81/simd/add_helpers.hpp	public_api	contract headers	essential	Public API surface
include/t81/simd/base81_digits.hpp	public_api	contract headers	essential	Public API surface
include/t81/simd/prefix_scan.hpp	public_api	contract headers	essential	Public API surface
include/t81/support/expected.hpp	public_api	contract headers	essential	Public API surface
include/t81/t81.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/README.md	public_api	contract headers	essential	Public API surface
include/t81/tensor/broadcast.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/elementwise.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/io/tensor_loader.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/llama.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/matmul.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/ops.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/reduce.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/reshape.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/shape.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/slice.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/stats.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/transpose.hpp	public_api	contract headers	essential	Public API surface
include/t81/tensor/unary.hpp	public_api	contract headers	essential	Public API surface
include/t81/ternary.hpp	public_api	contract headers	essential	Public API surface
include/t81/ternary/README.md	public_api	contract headers	essential	Public API surface
include/t81/ternary/arith.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/README.md	public_api	contract headers	essential	Public API surface
include/t81/tisc/base81_view.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/binary.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/binary_emitter.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/binary_io.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/encoding.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/ir.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/opcodes.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/pretty_printer.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/program.hpp	public_api	contract headers	essential	Public API surface
include/t81/tisc/type_alias.hpp	public_api	contract headers	essential	Public API surface
include/t81/traits.hpp	public_api	contract headers	essential	Public API surface
include/t81/transpose.hpp	public_api	contract headers	essential	Public API surface
include/t81/vm/README.md	public_api	contract headers	essential	Public API surface
include/t81/vm/jit.hpp	public_api	contract headers	essential	Public API surface
include/t81/vm/state.hpp	public_api	contract headers	essential	Public API surface
include/t81/vm/traps.hpp	public_api	contract headers	essential	Public API surface
include/t81/vm/vm.hpp	public_api	contract headers	essential	Public API surface
include/t81/weights.hpp	public_api	contract headers	essential	Public API surface
legacy/hanoivm/BUILD.bazel	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/Cargo.toml	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/LICENSE	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/MODULE.bazel	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/Makefile	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/README.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/ci.yml	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/config.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/docs/CHANGELOG.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/docs/MANIFESTO.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/docs/README.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/docs/ROADMAP.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/docs/STATUS.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/docs/t243_t729.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/package.cwebpkg	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/scripts/build-all.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/scripts/install.cwebpkg.sh	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/scripts/tangle-all.sh	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/scripts/test.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/README.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/README.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/ai_hook.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/axion-ai.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/axion-gaia-interface.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/axion_api.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/axion_gpu_request.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/meta.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/telemetry-cli.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/axion_ai/telemetry.json	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/disassembler/README.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/disassembler/disasm_hvm.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/disassembler/disassembler.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/disassembler/ghidra_hvm_plugin.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/gpu/README.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/gpu/cuda_handle_request.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/gpu/gaia_handle_request.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/gpu/hvm_pcie_driver.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/README.md	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/advanced_ops.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/advanced_ops_ext.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hanoivm-core.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hanoivm-runtime.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hanoivm_cli.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hanoivm_fsm.v	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hanoivm_vm.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hvm_firmware_entry.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hvm_interpreter.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hvm_loader.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hvm_promotion.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/hvmcli.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/main_driver.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
legacy/hanoivm/src/hanoivm_core/recursive_tier_execution.cweb	legacy_oracle	reference	optional	Frozen oracle/reference
